sentiment,confidence,sentiment_score
negative,0.8495125770568848,-1
positive,0.4960165321826935,1
positive,0.935822606086731,1
negative,0.8840810060501099,-1
positive,0.8665926456451416,1
neutral,0.9138622283935547,0
negative,0.9121302366256714,-1
positive,0.8746174573898315,1
neutral,0.5616155862808228,0
neutral,0.5860455632209778,0
positive,0.7510815858840942,1
negative,0.7219799160957336,-1
neutral,0.935728132724762,0
neutral,0.9371883273124695,0
neutral,0.8420414328575134,0
neutral,0.5503262877464294,0
negative,0.9252473711967468,-1
positive,0.5836361050605774,1
negative,0.9475210905075073,-1
neutral,0.9092103242874146,0
neutral,0.5302894115447998,0
negative,0.5153192281723022,-1
positive,0.851959228515625,1
negative,0.9725643992424011,-1
negative,0.9599730372428894,-1
positive,0.8493108749389648,1
negative,0.9602540135383606,-1
neutral,0.9498818516731262,0
neutral,0.867371141910553,0
positive,0.9454625248908997,1
neutral,0.887067973613739,0
neutral,0.938052773475647,0
neutral,0.5140109658241272,0
neutral,0.7431098818778992,0
neutral,0.874163806438446,0
positive,0.9537742733955383,1
positive,0.7011725902557373,1
positive,0.8882091641426086,1
neutral,0.7469651699066162,0
positive,0.8515269160270691,1
positive,0.6059585213661194,1
neutral,0.7714605927467346,0
positive,0.9163922667503357,1
neutral,0.595630943775177,0
negative,0.6136682629585266,-1
neutral,0.946993887424469,0
neutral,0.8819237351417542,0
neutral,0.901006281375885,0
negative,0.912634015083313,-1
negative,0.971373975276947,-1
neutral,0.9406207203865051,0
negative,0.9588263630867004,-1
neutral,0.7102639675140381,0
positive,0.8072687387466431,1
positive,0.8429028391838074,1
negative,0.9595586061477661,-1
neutral,0.5662208795547485,0
neutral,0.8700485825538635,0
positive,0.954533040523529,1
neutral,0.9215613603591919,0
positive,0.5218862295150757,1
negative,0.5029830932617188,-1
neutral,0.9079403281211853,0
neutral,0.8493677377700806,0
neutral,0.928493082523346,0
neutral,0.9396116137504578,0
positive,0.5497357249259949,1
positive,0.9070582389831543,1
positive,0.9488883018493652,1
positive,0.9535207152366638,1
positive,0.9110706448554993,1
positive,0.8644989132881165,1
neutral,0.9307913184165955,0
neutral,0.7693121433258057,0
neutral,0.41726696491241455,0
positive,0.7129799723625183,1
positive,0.5070744752883911,1
neutral,0.9313896894454956,0
positive,0.9467036128044128,1
neutral,0.8664426207542419,0
positive,0.8602420091629028,1
positive,0.9265812635421753,1
neutral,0.8431038856506348,0
positive,0.7118609547615051,1
neutral,0.9473831653594971,0
neutral,0.9178029894828796,0
positive,0.7648434638977051,1
neutral,0.9143613576889038,0
positive,0.9548710584640503,1
